hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6600  254.605    0.039  372.794    0.056 Engine.py:81(envelope)
 34857432   77.004    0.000   77.004    0.000 utils.py:60(chamber_temperature)
        1   33.149   33.149  415.721  415.721 VLM.py:2(<module>)
 34844232   32.633    0.000   32.633    0.000 utils.py:55(power)
 34857432    7.766    0.000    7.766    0.000 utils.py:32(mass_flow_rate)
        1    5.558    5.558    5.558    5.558 {built-in method _pickle.dump}
    52816    0.648    0.000    0.648    0.000 {built-in method numpy.zeros}
     2855    0.335    0.000    0.335    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       34    0.318    0.009    0.318    0.009 {method 'reduce' of 'numpy.ufunc' objects}
     4969    0.290    0.000    0.290    0.000 {built-in method nt.stat}
  1215120    0.259    0.000    0.374    0.000 utils.py:330(<genexpr>)
  484/231    0.254    0.001    0.923    0.004 {built-in method numpy.core._multiarray_umath.implement_array_function}
     1094    0.188    0.000    0.188    0.000 {built-in method numpy.array}
      777    0.165    0.000    0.165    0.000 {built-in method io.open_code}
     6633    0.150    0.000    0.150    0.000 {built-in method numpy.arange}
     8633    0.120    0.000    0.494    0.000 {built-in method builtins.sum}
  1206558    0.115    0.000    0.115    0.000 {built-in method unicodedata.east_asian_width}
     6600    0.110    0.000    0.451    0.000 Engine.py:32(__init__)
        1    0.105    0.105    0.457    0.457 nanfunctions.py:68(_replace_nan)
     2854    0.100    0.000    0.554    0.000 std.py:356(format_meter)
  102/100    0.090    0.001    0.093    0.001 {built-in method _imp.create_dynamic}
      775    0.089    0.000    0.089    0.000 {built-in method marshal.loads}
     6600    0.068    0.000    1.423    0.000 std.py:1202(update)
3346/3141    0.062    0.000    0.196    0.000 {built-in method builtins.__build_class__}
27726/27593    0.062    0.000    0.079    0.000 {method 'format' of 'str' objects}
        1    0.053    0.053    0.755    0.755 nanfunctions.py:862(nanmean)
